Year,ID,Enrollment_Status,Respondent_Gender,Female_Child,Male_Child,Free_Or_Red,Asian,Black,Hispanic,Multiracial,Native_American,Pacific,White,BIPOC,Household_Size,Q1a_f,Q1b_f,Q1c_f,Q1d_f,Q2_f,Q2a_f,Q2b_f,Q2c_f,Q2d_f,Q3_f,Q4a_f,Q4b_f,Q4c_f,Q4d_f,Q4e_f,Q5a_f,Q5b_f,Q5c_f,Q5d_f,Q5e_f,Q5f_f,Q5g_f,Q5h_f
2021,3333318,Enrolled,Female,Yes,No,,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Once or twice,Primarily as a learning tool,Very positive,Somewhat positive,Very positive,Somewhat positive,Very positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree
2021,555240,Unenrolled,Female,Yes,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Once or twice,Never,Several times,Once or twice,Yes,Several times,Once or twice,Several times,Once or twice,Device for children's entertainment,Neutral,Somewhat positive,Neutral,Neutral,Somewhat negative,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
2021,333170,Enrolled,Female,No,Yes,,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Never,Never,Once or twice,Several times,Yes,Several times,Once or twice,Never,Once or twice,Primarily as a learning tool,Very positive,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree
2021,555798,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Neutral,Somewhat positive,Very negative,Very negative,Somewhat negative,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,3331893,Enrolled,Female,Yes,Yes,All Paid,No,No,No,Yes,No,2,No,,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Somewhat negative,Very negative,Somewhat positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
2021,555368,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Once or twice,Yes,Several times,Several times,Never,Several times,Device for children's entertainment,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat negative,Neutral,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,3331241,Enrolled,Female,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Somewhat negative,Somewhat negative,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree
2021,555473,Unenrolled,Female,Yes,No,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Once or twice,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Very negative,Very negative,Very negative,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,333728,Enrolled,Female,Yes,No,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Once or twice,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very negative,Very negative,Very negative,Very negative,Very negative,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,333328,Enrolled,Female,Yes,No,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Never,Several times,Several times,Once or twice,Yes,Several times,Once or twice,Several times,Never,Device for children's entertainment,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Somewhat positive,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree
